file,size(BYTE),size(KB),size(MB),resolution(DPI)
Florence/20180919b_jpgs/jpgs/S26276671.jpg,7835232,7651.59375,7.472259521,96
Florence/20180919b_jpgs/jpgs/S26276783.jpg,5844131,5707.15918,5.573397636,96
Florence/20180919c_jpgs/jpgs/C26247918.jpg,6028699,5887.401367,5.749415398,96
Florence/20180919c_jpgs/jpgs/C26248857.jpg,7600731,7422.588867,7.248621941,96
Florence/20180919c_jpgs/jpgs/C26249850.jpg,7440025,7265.649414,7.095360756,96
Florence/20180919c_jpgs/jpgs/C26249884.jpg,5840196,5703.316406,5.569644928,96
Florence/20180919c_jpgs/jpgs/C26249950.jpg,7480573,7305.24707,7.134030342,96
Florence/20180919c_jpgs/jpgs/C26250426.jpg,5821225,5684.790039,5.551552773,96
Florence/20180919c_jpgs/jpgs/C26252170.jpg,6140823,5996.897461,5.856345177,96
Florence/20180919c_jpgs/jpgs/C26252781.jpg,7062720,6897.1875,6.735534668,96
Florence/20180919c_jpgs/jpgs/C26252847.jpg,8025282,7837.189453,7.653505325,96
Florence/20180919c_jpgs/jpgs/C26256584.jpg,7883885,7699.106445,7.518658638,96
Florence/20180919c_jpgs/jpgs/C26257228.jpg,8755529,8550.321289,8.349923134,96
Florence/20180919c_jpgs/jpgs/C26258079.jpg,10570162,10322.42383,10.08049202,96
Florence/20180919c_jpgs/jpgs/C26258167.jpg,5521479,5392.069336,5.265692711,96
Florence/20180919c_jpgs/jpgs/C26258977.jpg,6343618,6194.939453,6.04974556,96
Florence/20180919c_jpgs/jpgs/C26259046.jpg,6810192,6650.578125,6.4947052,96
